registration,make,model
R746NCW,VAUXHALL,VECTRA
R746SLE,CHRYSLER-JEEP,VOYAGER
R747BFM,VAUXHALL,VECTRA
R749DSG,VAUXHALL,VECTRA
R749WCK,FORD,FIESTA
R753RPR,VAUXHALL,VECTRA
R754VRX,VAUXHALL,VECTRA
R755OSL,VAUXHALL,VECTRA
R757GMJ,FORD,FIESTA
R757LWP,VAUXHALL,VECTRA
R758USJ,FORD,FIESTA
R75DGB,FORD,FIESTA
R75PFT,FORD,FIESTA
R760DGF,MG,MGF
R761BJN,VAUXHALL,VECTRA
R761EMY,CHRYSLER,VOYAGER
R764XPV,FORD,FIESTA
R765PHC,MITSUBISHI,COLT
R76DRE,VAUXHALL,VECTRA
R770EJA,ROVER,218
R770HDW,FORD,FIESTA
R770TNN,FORD,FIESTA
R771BGU,VAUXHALL,VECTRA
R771JCK,FORD,FIESTA
R771LUB,FORD,FIESTA
R771NJB,VAUXHALL,VECTRA
R771YBC,FORD,FIESTA
R772TEW,FORD,FIESTA
R776CSG,ROVER,218
R776DGK,FORD,FIESTA
R777HDR,TOYOTA,YARIS
R778NDS,SUBARU,IMPREZA
R779TUM,FORD,FIESTA
R77HAH,TESLA,MODEL X
R780BAR,VAUXHALL,VECTRA
R784HBR,VAUXHALL,VECTRA
R785CHL,VAUXHALL,VECTRA
R785CTC,FORD,FIESTA
R787TOK,MG,MGF
R78JWO,FORD,FIESTA
R790DRE,FORD,FIESTA
R790GEB,ROVER,414
R791BDL,FORD,FIESTA
R794KRU,FORD,FIESTA
R794PRE,VAUXHALL,VECTRA
R794SOJ,ROVER,414
R795CTC,FORD,FIESTA
R795MMR,FORD,FIESTA
R796EDA,FORD,FIESTA
R796LWP,VAUXHALL,VECTRA
R797CHL,VAUXHALL,VECTRA
R797LNJ,ROVER,414
R797YHU,VAUXHALL,VECTRA
R799LDY,VAUXHALL,VECTRA
R801JHG,MG,MGF
R802LDV,PEUGEOT,806
R802YAH,FORD,FIESTA
R803JPH,FORD,FIESTA
R805MBD,FORD,FIESTA
R807BNG,FORD,FIESTA
R809SDA,FORD,FIESTA
R810YWJ,VAUXHALL,VECTRA
R813WLP,MG,MGF
R814HAP,MERCEDES-BENZ,312
R814PNL,MERCEDES-BENZ,SPRINTER
R814VWL,VAUXHALL,VECTRA
R815STH,ROVER,414
R817CNK,VAUXHALL,VECTRA
R817HHP,ALFA ROMEO,SPIDER
R817RNL,FORD,FIESTA
R818PNR,FORD,FIESTA
R819SBW,FORD,FIESTA
R821CHL,VAUXHALL,VECTRA
R821EWC,FORD,FIESTA
R823FTU,FORD,FIESTA
R823GDL,FORD,FIESTA
R824FUS,ROVER,414
R824SOK,FORD,FIESTA
R825BAR,VAUXHALL,VECTRA
R825DUH,VAUXHALL,VECTRA
R827BUH,FORD,FIESTA
R827SSR,FORD,FIESTA
R830LUG,VAUXHALL,VECTRA
R831RKX,FORD,FIESTA
R832EVF,VAUXHALL,VECTRA
R833HAV,VAUXHALL,VECTRA
R834GHJ,FORD,FIESTA
R834VSN,MITSUBISHI,COLT
R836PVJ,FORD,FIESTA
R837DMY,VAUXHALL,VECTRA
R838CUS,FORD,FIESTA
R838WPU,TOYOTA,LANDCRUISER
R839HOK,ROVER,414
R841HHB,VAUXHALL,VECTRA
R843AEW,VAUXHALL,VECTRA
R844FWS,MG,MGF
R845HSF,FORD,FIESTA
R846DGS,VAUXHALL,VECTRA
R849HDA,FORD,FIESTA
R851EBH,VAUXHALL,VECTRA
R851FVA,ROVER,414
R851GFB,VAUXHALL,VECTRA
R852DEG,VAUXHALL,VECTRA
R852DKG,FORD,FIESTA
R852NNK,VAUXHALL,VECTRA
R852TKP,FORD,FIESTA
R853SMO,FORD,FIESTA
R856GKN,MERCEDES-BENZ,SPRINTER
R857CDV,FORD,FIESTA
R857YOG,VAUXHALL,VECTRA
R85BAU,FORD,FIESTA
R860CJO,VAUXHALL,VECTRA
R861MFL,FORD,FIESTA
R861WOE,FORD,FIESTA
R861XWO,SUBARU,IMPREZA
R862CJS,FORD,FIESTA
R862CVM,MERCEDES-BENZ,SPRINTER
R863DTU,MG,MGF
R863FKN,FORD,FIESTA
R864PWR,FORD,FIESTA
R866CUM,ROVER,414
R866LRC,VAUXHALL,VECTRA
R867GBR,VAUXHALL,VECTRA
R867HJN,FORD,FIESTA
R868WLS,ROVER,414
R870VPU,FORD,FIESTA
R871TSR,FORD,FIESTA
R873FFE,VAUXHALL,VECTRA
R875AOR,ROVER,218
R876ODA,FORD,FIESTA
R878MNH,VAUXHALL,VECTRA
R87UBC,VAUXHALL,VECTRA
R880ODA,FORD,FIESTA
R882VWO,FORD,FIESTA
R883HGN,CHRYSLER-JEEP,VOYAGER
R883HNK,FORD,FIESTA
R883YOK,VAUXHALL,VECTRA
R884VDP,VAUXHALL,VECTRA
R885SNN,FORD,FIESTA
R886VOM,FORD,FIESTA
R887JRG,VAUXHALL,VECTRA
R887SBM,VAUXHALL,VECTRA
R888AUR,ROLLS ROYCE,GHOST V12 BLACK BADGE AUTO
R888YSK,BMW,218
R889CNV,FORD,FIESTA
R88CSW,BMW,X3
R88WAM,POLESTAR,POLESTAR 2 EV FWD
R890HNL,FORD,FIESTA
R890KKO,FORD,FIESTA
R891KTV,ROVER,414
R891XOK,FORD,FIESTA
R892HTN,FORD,FIESTA
R892TDV,VAUXHALL,VECTRA
R893FKX,VAUXHALL,VECTRA
R894VHE,VAUXHALL,VECTRA
R896GFU,FORD,FIESTA
R896NSO,VAUXHALL,VECTRA
R897HEW,FORD,FIESTA
R898BUH,FORD,FIESTA
R898CJS,FORD,FIESTA
R8JMA,MG,MGF
R903NTT,MG,MGF
R904FCT,FORD,FIESTA
R904YEV,MERCEDES-BENZ,312
R905GEB,ROVER,414
R906VJH,MG,MGF
R907AUK,FORD,FIESTA
R908WGY,VAUXHALL,VECTRA
R909BKU,FORD,FIESTA
R910HGS,VAUXHALL,VECTRA
R912TYD,FORD,FIESTA
R912XNA,ROVER,414
R914MBB,FORD,FIESTA
R914NNJ,TOYOTA,LANDCRUISER
R915EBJ,FORD,FIESTA
R915TDG,MITSUBISHI,COLT
R915VAR,FORD,FIESTA
R915WMJ,VAUXHALL,VECTRA
R918PRG,VAUXHALL,VECTRA
R918VHE,VAUXHALL,VECTRA
R918YPW,VAUXHALL,VECTRA
R919BEW,ROVER,414
R919LDU,FORD,FIESTA
R919WWR,VAUXHALL,VECTRA
R921FBM,VAUXHALL,VECTRA
R921YCL,FORD,FIESTA
R922MNK,FORD,FIESTA
R923FNE,FORD,FIESTA
R925NAU,FORD,FIESTA
R926NDM,FORD,FIESTA
R927LDU,FORD,FIESTA
R928CYG,FORD,FIESTA
R928DUF,FORD,FIESTA
R92MRY,VAUXHALL,VECTRA
R930MTD,VAUXHALL,VECTRA
R930TBM,FORD,FIESTA
R930VOV,FORD,FIESTA
R931AUH,FORD,FIESTA
R931BAH,FORD,FIESTA
R932CUB,FORD,FIESTA
R932WWR,FORD,FIESTA
R933BNC,FORD,FIESTA
R935MTV,FORD,FIESTA
R935OBN,VAUXHALL,VECTRA
R935SKH,FORD,FIESTA
R937FBM,VAUXHALL,VECTRA
R93EUR,VAUXHALL,VECTRA
R93KRH,FORD,FIESTA
R940LDY,VAUXHALL,VECTRA
R940WDA,VAUXHALL,VECTRA
R942CRO,VAUXHALL,VECTRA
R943FOB,VAUXHALL,VECTRA
R944BLE,VAUXHALL,VECTRA
R944PDV,VAUXHALL,VECTRA
R947ENH,FORD,FIESTA
R947OMO,FORD,FIESTA
R949SBM,VAUXHALL,VECTRA
R952BRW,MG,MGF
R952OTE,MG,MGF
R953THN,VAUXHALL,VECTRA
R953VRK,MG,MGF
R953WVR,VAUXHALL,VECTRA
R954LDE,MITSUBISHI,COLT
R955HSG,MERCEDES-BENZ,SPRINTER
R955SDF,FORD,FIESTA
R955SSL,FORD,FIESTA
R957JWC,MG,MGF
R959FVK,FORD,FIESTA
R960ARO,ROVER,414
R960YBE,FORD,FIESTA
R962TKR,VAUXHALL,VECTRA
R963VRX,VAUXHALL,VECTRA
R964ACV,VAUXHALL,VECTRA
R965DEG,VAUXHALL,VECTRA
R965JGF,FORD,FIESTA
R966WWP,VAUXHALL,VECTRA
R966XUY,FORD,FIESTA
R967CGD,FORD,FIESTA
R967WTW,FORD,FIESTA
R969HMW,MERCEDES-BENZ,SPRINTER
R96DOB,FORD,FIESTA
R96FAF,MG,MGF
R96YCC,FORD,FIESTA
R970RTY,VAUXHALL,VECTRA
R971USL,FORD,FIESTA
R974NFA,VAUXHALL,VECTRA
R975CKK,MG,MGF
R976EMB,FORD,FIESTA
R976VBL,VAUXHALL,VECTRA
R976YCC,SUBARU,IMPREZA
R977HAR,DAIHATSU,GRAND MOVE
R978BYS,VAUXHALL,VECTRA
R978HNV,VAUXHALL,VECTRA
R978TCK,FORD,FIESTA
R979VWC,FORD,FIESTA
R97BTU,VAUXHALL,VECTRA
R97CRO,VAUXHALL,VECTRA
R97WBK,SUBARU,IMPREZA
R980LBC,VAUXHALL,VECTRA
R981AMJ,VAUXHALL,VECTRA
R983ANM,VAUXHALL,VECTRA
R983LHT,FORD,FIESTA
R983MJW,FORD,FIESTA
R984CTX,FORD,FIESTA
R985LDU,FORD,FIESTA
R986AEW,FORD,FIESTA
R986HDV,FORD,FIESTA
R986PVN,FORD,FIESTA
R986TJU,ROVER,414
R988ARJ,FORD,FIESTA
R988KWS,NISSAN,SKYLINE
R989BAF,FORD,FIESTA
R98JPB,PEUGEOT,806
R991ARJ,FORD,FIESTA
R991YNN,MITSUBISHI,OUTLANDER EXCD SAFETY PHEV CVT
R992YMB,FORD,FIESTA
R993CGU,VAUXHALL,VECTRA
R993XEV,ROVER,414
R994RKW,FORD,FIESTA
R995KFS,FORD,FIESTA
R995KUM,TOYOTA,LANDCRUISER
R998DSF,ROVER,414
R998MJW,FORD,FIESTA
R99DCY,BMW,218
R99DNL,FORD,FIESTA
R9MCC,BMW,X3
RA03YME,TOYOTA,YARIS
RA04ERV,FORD,FIESTA
RA04HJN,FORD,FIESTA
RA04NNP,FORD,FIESTA
RA04NUF,FORD,FIESTA
RA05BEK,FORD,FIESTA
RA05VBZ,RENAULT,SCENIC
RA05XCJ,TOYOTA,YARIS
RA06OWC,TOYOTA,YARIS
RA07FWB,TOYOTA,YARIS
RA07LUH,FORD,FIESTA
RA07RNF,FORD,FIESTA
RA07SZW,RENAULT,SCENIC
RA07UCR,KIA,CEED
RA15GKX,FORD,FIESTA
RA18UDE,BMW,S 1000
RA19VKH,AUDI,Q3
RA19XFW,AUDI,Q3
RA19ZTM,AUDI,Q3
RA21FOM,VOLKSWAGEN,POLO MATCH EVO
RA22FPL,AUDI,Q5 S LINE 40 TDI MHEV QUAT S-A
RA51YTJ,FORD,FIESTA
RA52KGZ,FORD,FIESTA
RA52NZJ,FORD,FIESTA
RA54DFX,RENAULT,SCENIC
RA55DFG,VAUXHALL,VECTRA
RA55PMO,FORD,FIESTA
RA57ZWX,FORD,FIESTA
RA59SXB,VAUXHALL,AGILA
RA65LZJ,MERCEDES-BENZ,SPRINTER
RA66BEJ,FORD,FIESTA
RA66KWN,AUDI,Q3
RA68GFJ,KIA,CEED
RA68PMY,BMW,X3
RA68UVU,AUDI,Q3
RA73OZB,RENAULT,CAPTUR TECHNO E-TECH HEV AUTO
RBZ2691,BMW,X3
RCZ7267,VAUXHALL,VECTRA
RD02BOH,FORD,FIESTA
RD02CTU,FORD,FIESTA
RD06HAN,MERCEDES-BENZ,SPRINTER
RD51AXY,TOYOTA,YARIS
RD51MOR,MERCEDES-BENZ,CLS
RE02FUD,VAUXHALL,VECTRA
RE02TEV,FORD,FIESTA
RE03MXM,FORD,FIESTA
RE03NLK,FORD,FIESTA
RE03NTT,FORD,FIESTA
RE03PXT,VAUXHALL,AGILA
RE03VUA,FORD,FIESTA
RE04GNF,RENAULT,SCENIC
RE04LZP,FORD,FIESTA
RE04VPM,RENAULT,SCENIC
RE05UDP,BMW,X3
RE06HTN,MITSUBISHI,COLT
RE07SFY,FORD,FIESTA
RE08TSO,MERCEDES-BENZ,SPRINTER
RE09WKX,MERCEDES-BENZ,SPRINTER
RE10MWZ,FORD,FIESTA
RE10OYT,FORD,FIESTA
RE10WOR,FORD,FIESTA
RE11AZT,FIAT,PUNTO EVO
RE11EDX,FORD,FIESTA
RE11LOT,BMW,X3
RE11ZVT,FORD,FIESTA
RE12SFZ,MAZDA,6
RE13AYN,TOYOTA,YARIS
RE13LZK,BMW,X3
RE13SVT,FORD,FIESTA
RE13ZCJ,MERCEDES-BENZ,SPRINTER
RE14BFN,FORD,FIESTA
RE14LKL,PEUGEOT,108
RE14UHA,KIA,CEED
RE14UKA,KIA,CEED
RE15AZA,TOYOTA,YARIS
RE16WYZ,PEUGEOT,BIPPER
RE16ZHK,SSANGYONG,KORANDO
RE19SXS,KIA,CEED
RE19ZNO,KIA,RIO
RE20CGY,TOYOTA,YARIS
RE20CXV,RENAULT,MASTER LH35 BUSINESS DCI
RE20LSY,FORD,FIESTA
RE21MXD,AUDI,Q2 TECHNIK 30 TFSI
RE21OPL,HYUNDAI,TUCSON SE CONNECT T-GDI HEV A
RE21TXW,FORD,PUMA ST-LINE X MHEV
RE22BWD,MINI,COOPER S ELECTRIC LEVEL 3
RE22EWU,BMW,S 1000
RE22ZMX,KIA,CEED
RE23WFF,FORD,PUMA TITANIUM MHEV
RE51ATZ,VAUXHALL,VECTRA
RE51OJX,PEUGEOT,806
RE52WMA,FORD,FIESTA
RE53AZN,MERCEDES-BENZ,SPRINTER
RE53WFY,TOYOTA,YARIS
RE54ERU,BMW,X3
RE54FAA,FORD,FIESTA
RE54OWU,FORD,FIESTA
RE54YDO,TOYOTA,YARIS
RE56FUF,FORD,FIESTA
RE56GDJ,RENAULT,SCENIC
RE56XJX,TOYOTA,YARIS
RE58URD,TOYOTA,YARIS
RE59EEJ,FORD,FIESTA
RE59LPK,FORD,FIESTA
RE59XRP,FORD,FIESTA
RE61WZN,FORD,FIESTA
RE62NLO,FORD,FIESTA
RE63AYN,FORD,FIESTA
RE63LMU,INFINITI,FX
RE63OMY,KIA,RIO
RE64OCS,KIA,CEED
RE64VBU,AUDI,Q3
RE66FAF,TOYOTA,YARIS
RE66JRU,AUDI,Q3
RE66MVG,BMW,X3
RE66OGJ,KIA,RIO
RE66XFT,FORD,FIESTA
RE67LZF,AUDI,Q3
RE67MAH,TOYOTA,YARIS
RE68AUN,JAGUAR,F-PACE
RE69NLA,BMW,X3
RE70AFU,HYUNDAI,KONA
RE70ASV,HYUNDAI,KONA
RE70BWN,HYUNDAI,KONA
RE70CJJ,HYUNDAI,KONA
RE72XYM,VOLKSWAGEN,GOLF STYLE ETSI S-A
RE72ZGM,MG,HS EXCITE S-A
RED111A,MORGAN,MW3
RF02GZW,FORD,FIESTA
RF03UEN,FORD,FIESTA
RF03WRX,SUBARU,IMPREZA
RF04UMB,FORD,FIESTA
RF04UOY,FORD,FIESTA
RF04VYB,BMW,X3
RF04ZYA,VAUXHALL,VECTRA
RF05FPG,BMW,X3
RF05LHE,MITSUBISHI,COLT
RF05URM,FORD,FIESTA
RF06BVT,MITSUBISHI,COLT
RF06DVW,LEXUS,RX300
RF07EHJ,TOYOTA,YARIS
RF07OSM,FORD,FIESTA
RF07TCJ,SUBARU,IMPREZA
RF11LCC,KIA,RIO
RF12GZL,PEUGEOT,508
RF12UBT,FORD,FIESTA
RF12VWS,MERCEDES-BENZ,SPRINTER
RF13FZB,FORD,FIESTA
RF13KBZ,BMW,X3
RF13XOL,MERCEDES-BENZ,CLS
RF14YNA,TOYOTA,YARIS
RF15FSZ,TOYOTA,YARIS
RF15JDZ,KIA,CEED
RF15JWK,KIA,CEED
RF15WHC,FORD,FIESTA
RF16EGZ,MERCEDES-BENZ,SPRINTER
RF16XYH,KIA,RIO
RF17XDY,AUDI,Q3
RF21HCP,TOYOTA,YARIS LAUNCH EDITION HEV CVT
RF21ZJJ,HYUNDAI,TUCSON SE CONNECT T-GDI HEV A
RF22GKV,TOYOTA,YARIS EXCEL HEV CVT
RF23AJV,BMW,S 1000
RF23HJJ,FORD,PUMA ST-LINE X MHEV
RF51ZWD,FORD,FIESTA
RF52FHW,VAUXHALL,VECTRA
RF52SVG,KIA,SHUMA II
RF52UCH,MERCEDES-BENZ,SPRINTER
RF53BXG,JAGUAR,XKR
RF53KGJ,FORD,FIESTA
RF53KJJ,FORD,FIESTA
RF53YDC,FORD,FIESTA
RF53YGV,FORD,FIESTA
RF53YWC,RENAULT,SCENIC
RF54PVA,FORD,FIESTA
RF55AEG,MERCEDES-BENZ,SPRINTER
RF55YMW,RENAULT,SCENIC
RF56JYG,FORD,FIESTA
RF56MDN,FORD,FIESTA
RF57BEL,JAGUAR,F-PACE
RF57RZW,FORD,FIESTA
RF57ZTN,FORD,FIESTA
RF58ETE,VAUXHALL,VECTRA
RF58FMC,KIA,CEED
RF58FME,KIA,CEED
RF58XAH,FORD,FIESTA
RF58XRS,FORD,FIESTA
RF59OHV,KIA,RIO
RF63BWO,MAZDA,6
RF63KDV,TOYOTA,YARIS
RF64CEU,FORD,FIESTA
RF64KYB,KIA,RIO
RF65EWT,BMW,218
RF65OJJ,TOYOTA,YARIS
RF65XRH,FORD,FIESTA
RF66OSX,FORD,FIESTA
RF69HFV,FORD,FIESTA
RF69TYV,KIA,CEED
RF70CNO,FORD,KUGA TITANIUM PHEV CVT
RG51EEA,FORD,FIESTA
RGZ7522,FORD,FIESTA
RJ02SXS,FORD,FIESTA
RJ04ATX,FORD,FIESTA
RJ04DWZ,MERCEDES-BENZ,SPRINTER
RJ04FXF,RENAULT,SCENIC
RJ04WMC,FORD,FIESTA
RJ04WVD,VAUXHALL,VECTRA
RJ05YJR,RENAULT,SCENIC
RJ06NUM,BMW,X3
RJ06YKL,JAGUAR,XK
RJ07GUD,BMW,K1200 R SPORT
RJ08WCE,FORD,FIESTA
RJ09JXS,FORD,FIESTA
RJ09LXD,CHEVROLET,AVEO
RJ10FKT,RENAULT,SCENIC
RJ10HFS,MERCEDES-BENZ,SPRINTER
RJ13BFU,FORD,FIESTA
RJ13FBV,TOYOTA,YARIS
RJ13NHO,BMW,X3
RJ13NNK,AUDI,Q3
RJ14LLE,KIA,CEED
RJ14NKO,KIA,CEED
RJ14TRV,PEUGEOT,BIPPER
RJ15TWK,KIA,CEED
RJ15XFH,AUDI,Q3
RJ16UCE,PEUGEOT,108
RJ16XEO,KIA,CEED
RJ18FRU,KIA,CEED
RJ18NZO,MERCEDES-BENZ,SPRINTER
RJ19UZF,JAGUAR,F-PACE
RJ20HKZ,TOYOTA,YARIS
RJ21ARZ,FORD,PUMA TITANIUM MHEV
RJ22GZM,FORD,TOURNEO CUSTOM 320 TI EBLUE A
RJ22HWW,FORD,PUMA ST-LINE X MHEV
RJ51UPV,FORD,FIESTA
RJ52GFY,FORD,FIESTA
RJ52ONU,FORD,FIESTA
RJ53DYO,RENAULT,SCENIC
RJ54CVC,FORD,FIESTA
RJ54EAW,FORD,FIESTA
RJ54LYZ,BMW,X3
RJ55BGZ,FORD,FIESTA
RJ55XNL,FORD,FIESTA
RJ56OGC,TOYOTA,YARIS
RJ57BDO,TOYOTA,YARIS
RJ57MHU,TOYOTA,YARIS
RJ57MOR,MERCEDES-BENZ,CLS
RJ57YTG,MITSUBISHI,COLT
RJ58JUX,MAZDA,6
RJ58TZT,FORD,FIESTA
RJ58UOE,MITSUBISHI,COLT
RJ59LWL,FORD,FIESTA
RJ59OFB,TOYOTA,YARIS
RJ59RZH,VAUXHALL,AGILA
RJ61BUO,FORD,FIESTA
RJ62ZXZ,BMW,X3
RJ63BFO,FORD,FIESTA
RJ63FSU,TOYOTA,YARIS
RJ63MXD,FORD,FIESTA
RJ63PUE,TOYOTA,YARIS
RJ64USY,TOYOTA,YARIS
RJ65WYC,MERCEDES-BENZ,SPRINTER
RJ65ZDA,KIA,CEED
RJ65ZHM,AUDI,Q3
RJ65ZVS,BMW,X3
RJ66SFE,AUDI,Q3
RJ66UEG,FORD,FIESTA
RJ66WKK,BMW,X3
RJ66ZUA,KIA,CEED
RJ67WRE,AUDI,Q3
RJ68PZN,TOYOTA,YARIS
RJ68SZP,BMW,440
RJ71NKD,AUDI,A5 S LN BLK ED 40TDI MHEV Q SA
RJ71OBZ,AUDI,Q5 S LINE 40 TDI MHEV QUAT S-A
RJ71PCZ,LAND ROVER,R ROVER EVOQUE R-DYN S P300E A
RJ72UMA,AUDI,Q2 TECHNIK 30 TFSI
RK03MVC,TOYOTA,YARIS
RK04DHU,FORD,FIESTA
RK04VNV,BMW,X3
RK04YZT,LEXUS,RX300
RK06RVA,FORD,FIESTA
RK06VYO,VAUXHALL,AGILA
RK07XLA,FORD,FIESTA
RK08FNM,FORD,FIESTA
RK08OZP,TOYOTA,YARIS
RK08UUC,TOYOTA,YARIS
RK10SPX,FORD,FIESTA
RK10WYS,FORD,FIESTA
RK11YYB,TOYOTA,YARIS
RK11ZPZ,RENAULT,GRAND MODUS
RK12RXX,TOYOTA,YARIS
RK13CVX,MERCEDES-BENZ,CLS
RK13KTE,MAZDA,6
RK14EYU,KIA,CEED
RK14FFP,KIA,CEED
RK14LJO,TOYOTA,YARIS
RK14MKF,KIA,RIO
RK15OBL,KIA,RIO
RK15WPU,TOYOTA,YARIS
RK15XUJ,SSANGYONG,KORANDO
RK15YVP,AUDI,Q3
RK16NNY,AUDI,Q3
RK17KFN,KIA,CEED
RK17LAE,KIA,CEED
RK17LYY,FORD,FIESTA
RK18UBA,KIA,RIO
RK18YXX,BMW,218
RK19XZA,HYUNDAI,KONA
RK19XZD,HYUNDAI,KONA
RK20ZCE,PEUGEOT,208 ACTIVE PURETECH S/S
RK21OZA,AUDI,A6 S LN BLK ED 40 TFSI MHEV SA
RK22XGM,VOLKSWAGEN,GOLF STYLE ETSI S-A
RK23LXO,AUDI,TT SPORT EDITION 40 TFSI S-A
RK51GYF,FORD,FIESTA
RK51YWG,TOYOTA,YARIS
RK52HXD,FORD,FIESTA
RK52TYC,SUBARU,IMPREZA
RK55UAD,TOYOTA,YARIS
RK55XKY,VOLVO,XC70
RK58XFY,VOLKSWAGEN,JETTA
RK59SYZ,TOYOTA,YARIS
RK62XTW,TOYOTA,YARIS
RK62ZMX,FORD,FIESTA
RK63AFZ,VAUXHALL,AGILA
RK63UNF,FORD,FIESTA
RK64CKD,PEUGEOT,108
RK64LZV,KIA,CEED
RK65YTF,KIA,CEED
RK67GWN,TOYOTA,YARIS
RK69EOV,JAGUAR,F-PACE
RK69LJL,TOYOTA,YARIS
RK72CGF,MG,5 EXCITE
RL02TEO,FORD,FIESTA
RL03NVV,FORD,FIESTA
RL04DJD,BMW,X3
RL04DLO,MERCEDES-BENZ,E 220 AMG LINE PREMIUM D AUTO
RL04XOX,FORD,FIESTA
RL05VMA,FORD,FIESTA
RL19OAB,AUDI,Q3
RL51DBY,CHRYSLER,VOYAGER
RL51GVE,RENAULT,SCENIC
RL52VMY,LEXUS,RX300
RL53TJX,TOYOTA,YARIS
RM08EEN,BMW,218
RN02AWP,RENAULT,SCENIC
RN04VVC,LEXUS,RX300
RN04XPL,FORD,FIESTA
RN05MXP,RENAULT,SCENIC
RN19TLU,HYUNDAI,KONA
RN51BNE,TOYOTA,YARIS
RN51CHG,FORD,FIESTA
RN54DMV,RENAULT,SCENIC
RN54KTD,FORD,FIESTA
RN54NYZ,FORD,FIESTA
RN57WFP,FORD,FIESTA
RO03HVD,FORD,FIESTA
RO04AFA,FORD,FIESTA
RO04FFN,LEXUS,RX300
RO04FHR,SUBARU,IMPREZA
RO04GWP,VAUXHALL,VECTRA
RO04KFJ,FORD,FIESTA
RO05ADH,JAGUAR,F-PACE
RO06HLA,VAUXHALL,VECTRA
RO06PXT,FORD,FIESTA
RO06YTY,VAUXHALL,VECTRA
RO07TCP,TESLA,MODEL X
RO08JJX,FORD,FIESTA
RO08MWD,FORD,FIESTA
RO09OBG,VOLKSWAGEN,JETTA
RO09UER,FORD,FIESTA
RO10RVC,FORD,FIESTA
RO10WGN,KIA,RIO
RO11YRP,FORD,FIESTA
RO12EBF,AUDI,Q3
RO12TLX,TOYOTA,YARIS
RO13PNY,TOYOTA,YARIS
RO13VEA,CITROEN,DS5
RO13ZWK,TOYOTA,YARIS
RO14NWM,KIA,CEED
RO14UBA,TOYOTA,YARIS
RO14VKA,FORD,FIESTA
RO14ZDK,FORD,FIESTA
RO15CCU,KIA,RIO
RO16LGL,KIA,CEED
RO16LHC,KIA,CEED
RO17EGD,FORD,FIESTA
RO17TXG,SSANGYONG,KORANDO
RO20VPK,VAUXHALL,CORSA ELITE NAV PREMIUM TRBO A
RO21VYK,MINI,COOPER S ELECTRIC LEVEL 3
RO22DVA,HYUNDAI,KONA
RO22FVN,RENAULT,ZOE GT ED RAPID CHARGE EV 50
RO22ZGJ,KIA,CEED
RO23HDA,BMW,S 1000
RO51HBG,VAUXHALL,VECTRA
RO51VMG,FORD,FIESTA
RO52HNZ,RENAULT,SCENIC
RO52KZN,MERCEDES-BENZ,SPRINTER
RO52YPM,TOYOTA,YARIS
RO53JRF,AUDI,Q5 S LINE 40 TDI MHEV QUAT S-A
RO56XVV,RENAULT,SCENIC
RO56YHL,TOYOTA,YARIS
RO57XPX,TOYOTA,YARIS
RO59OUD,FORD,FIESTA
RO59TXB,FORD,FIESTA
RO59VKM,FORD,FIESTA
RO59XZD,TOYOTA,YARIS
RO59ZYY,FORD,FIESTA
RO60EZF,RENAULT,GRAND MODUS
RO60JTY,FORD,FIESTA
RO60XDB,TOYOTA,YARIS
RO62OSN,FORD,FIESTA
RO62WNN,MERCEDES-BENZ,SPRINTER
RO63KMK,FORD,FIESTA
RO63OJY,FORD,FIESTA
RO63SXT,TOYOTA,YARIS
RO64HYH,FORD,FIESTA
RO64LSL,TOYOTA,YARIS
RO64LVM,TOYOTA,YARIS
RO67ZWP,KIA,CEED
RO69BFL,TOYOTA,YARIS
RO69FGJ,VOLKSWAGEN,GOLF MATCH EDITION TSI EVO S-A
RO69USF,BMW,X3
RO70ZYL,HYUNDAI,KONA
RO71NTD,VOLKSWAGEN,POLO MATCH EVO
RO72TTF,TOYOTA,HILUX INVINCIBLE D-4D 4WD DCB
RON45H,LAND ROVER,RANGE ROVER SPORT HSE D MHEV A
RR13ONS,AUDI,Q3
RS04MAL,AUDI,RS4
RT03TTT,BMW,218
RU55FUN,MERCEDES-BENZ,SPRINTER
RV03HNH,FORD,FIESTA
RV03UGP,FORD,FIESTA
RV04HKY,FORD,FIESTA
RV04UPA,RENAULT,SCENIC
RV04XCX,FORD,FIESTA
RV05ORF,FORD,FIESTA
RV06BYH,TOYOTA,YARIS
RV07GUG,VAUXHALL,VECTRA
RV07KWH,SUBARU,IMPREZA
RV07XBN,TOYOTA,YARIS
RV08HYR,VAUXHALL,VECTRA
RV09HNW,TOYOTA,YARIS
RV09LVF,VAUXHALL,AGILA
RV10XKS,PEUGEOT,BIPPER
RV10YYO,FORD,FIESTA
RV11CHZ,TOYOTA,YARIS
RV11NKD,MAZDA,6
RV12NPP,TOYOTA,YARIS
RV15KKA,AUDI,Q3
RV16CFZ,TOYOTA,YARIS
RV19NLP,TOYOTA,YARIS
RV21WBU,NISSAN,JUKE N-CONNECTA DIG-T S-A
RV23VMZ,KIA,CEED
RV51NVX,FORD,FIESTA
RV52BBJ,LEXUS,RX300
RV52NWW,MERCEDES-BENZ,SPRINTER
RV52WPE,JEEP,GRAND CHEROKEE CRD LTD AUTO
RV53BFF,KIA,RIO
RV53DWM,TOYOTA,YARIS
RV54AVW,VAUXHALL,VECTRA
RV54FZJ,FORD,FIESTA
RV54WJC,FORD,FIESTA
RV55RZO,TOYOTA,YARIS
